ZIP,COUNTY,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00501,36103,HOLTSVILLE,NY,0.000000000,1.000000000,0.000000000,1.000000000
00601,72081,ADJUNTAS,PR,0.002551020,0.005025126,0.012195122,0.002949395
00601,72001,ADJUNTAS,PR,0.997448980,0.994974874,0.987804878,0.997050605
00602,72005,AGUADA,PR,0.000000000,0.001017294,0.000000000,0.000076011
00602,72117,AGUADA,PR,0.000586412,0.000000000,0.000000000,0.000532077
00602,72003,AGUADA,PR,0.999413588,0.998982706,1.000000000,0.999391912
00603,72099,AGUADILLA,PR,0.000651042,0.000897666,0.000000000,0.000645033
00603,72005,AGUADILLA,PR,0.999348958,0.999102334,1.000000000,0.999354967
00604,72005,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00605,72005,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00606,72093,MARICAO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00610,72011,ANASCO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00611,72141,ANGELES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00612,72141,ARECIBO,PR,0.000210402,0.000000000,0.001455604,0.000222544
00612,72054,ARECIBO,PR,0.003113954,0.000398406,0.000000000,0.002781796
00612,72065,ARECIBO,PR,0.006017505,0.000000000,0.000000000,0.005303958
00612,72017,ARECIBO,PR,0.001178253,0.000000000,0.000000000,0.001038537
00612,72013,ARECIBO,PR,0.989479886,0.999601594,0.998544396,0.990653166
00613,72013,ARECIBO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00614,72013,ARECIBO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00616,72013,BAJADERO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00617,72054,BARCELONETA,PR,0.001732470,0.000000000,0.000000000,0.001616884
00617,72017,BARCELONETA,PR,0.956049968,0.958461538,1.000000000,0.956684537
00617,72091,BARCELONETA,PR,0.042217562,0.041538462,0.000000000,0.041698579
00622,72023,BOQUERON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00623,72023,CABO ROJO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00624,72059,PENUELAS,PR,0.000000000,0.020460358,0.000000000,0.001000625
00624,72113,PENUELAS,PR,0.001057502,0.000000000,0.000000000,0.001000625
00624,72111,PENUELAS,PR,0.998942498,0.979539642,1.000000000,0.997998749
00627,72027,CAMUY,PR,1.000000000,1.000000000,1.000000000,1.000000000
00631,72081,CASTANER,PR,0.000000000,0.000000000,1.000000000,1.000000000
00637,72121,SABANA GRANDE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00638,72039,CIALES,PR,0.999376947,0.990291262,1.000000000,0.998968464
00638,72107,CIALES,PR,0.000623053,0.009708738,0.000000000,0.001031536
00641,72141,UTUADO,PR,0.996067756,1.000000000,1.000000000,0.996364653
00641,72113,UTUADO,PR,0.003932244,0.000000000,0.000000000,0.003635347
00646,72137,DORADO,PR,0.001518553,0.005192108,0.000000000,0.001722017
00646,72143,DORADO,PR,0.017100224,0.004153686,0.000000000,0.016174662
00646,72135,DORADO,PR,0.007328668,0.002076843,0.000000000,0.006949569
00646,72051,DORADO,PR,0.974052555,0.988577362,1.000000000,0.975153752
00647,72121,ENSENADA,PR,0.008297568,0.000000000,0.000000000,0.008033241
00647,72055,ENSENADA,PR,0.991702432,1.000000000,1.000000000,0.991966759
00650,72017,FLORIDA,PR,0.028442844,0.000000000,0.000000000,0.027511753
00650,72013,FLORIDA,PR,0.114671467,0.006289308,0.172413793,0.111962389
00650,72054,FLORIDA,PR,0.856885689,0.993710692,0.827586207,0.860525858
00652,72013,GARROCHALES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00653,72055,GUANICA,PR,0.996647670,1.000000000,1.000000000,0.996837945
00653,72153,GUANICA,PR,0.003352330,0.000000000,0.000000000,0.003162055
00656,72059,GUAYANILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00659,72013,HATILLO,PR,0.010571880,0.002395210,0.000000000,0.009942197
00659,72065,HATILLO,PR,0.989428120,0.997604790,1.000000000,0.990057803
00660,72097,HORMIGUEROS,PR,0.005015325,0.000000000,0.000000000,0.004729996
00660,72067,HORMIGUEROS,PR,0.994984675,1.000000000,1.000000000,0.995270004
00662,72099,ISABELA,PR,0.008972019,0.005128205,0.000000000,0.008613023
00662,72115,ISABELA,PR,0.001064477,0.000732601,0.000000000,0.001029818
00662,72005,ISABELA,PR,0.001216545,0.002930403,0.000000000,0.001310677
00662,72071,ISABELA,PR,0.988746959,0.991208791,1.000000000,0.989046482
00664,72073,JAYUYA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00667,72079,LAJAS,PR,0.998996208,0.997722096,1.000000000,0.998944814
00667,72121,LAJAS,PR,0.001003792,0.002277904,0.000000000,0.001055186
